"","Country","Tests","Test.Pop","Density","Urban.Pop","Quarantine","Schools","Restrictions","Hospital.Bed","sex0","sex14","sex25","sex54","sex64","sex65plus","Sex.Ratio","lung","Female.Lung","Male.Lung","Median.Age","GDP.2018","Crime.Index","Population.2020","Smoking.2016","Females.2018","Total.Infected","Total.Deaths","Total.Recovered","countriesAndTerritories","dateRep","day","month","year","cases","deaths","geoId","countryterritoryCode","popData2018","continentExp","Date","recoveries","days","deaths2","cases2","active","deathrate","Entity","Code","Total.tests"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","22/01/2020",22,1,2020,0,0,"AF","AFG",37172386,"Asia",2020-01-22,0,0,0,0,0,0,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","23/01/2020",23,1,2020,0,0,"AF","AFG",37172386,"Asia",2020-01-23,0,1,0,0,0,0,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","24/01/2020",24,1,2020,0,0,"AF","AFG",37172386,"Asia",2020-01-24,0,2,0,0,0,0,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","25/01/2020",25,1,2020,0,0,"AF","AFG",37172386,"Asia",2020-01-25,0,3,0,0,0,0,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","26/01/2020",26,1,2020,0,0,"AF","AFG",37172386,"Asia",2020-01-26,0,4,0,0,0,0,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","27/01/2020",27,1,2020,0,0,"AF","AFG",37172386,"Asia",2020-01-27,0,5,0,0,0,0,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","28/01/2020",28,1,2020,0,0,"AF","AFG",37172386,"Asia",2020-01-28,0,6,0,0,0,0,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","29/01/2020",29,1,2020,0,0,"AF","AFG",37172386,"Asia",2020-01-29,0,7,0,0,0,0,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","30/01/2020",30,1,2020,0,0,"AF","AFG",37172386,"Asia",2020-01-30,0,8,0,0,0,0,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","31/01/2020",31,1,2020,0,0,"AF","AFG",37172386,"Asia",2020-01-31,0,9,0,0,0,0,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","01/02/2020",1,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-01,0,10,0,0,0,0,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","02/02/2020",2,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-02,0,11,0,0,0,0,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","03/02/2020",3,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-03,0,12,0,0,0,0,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","04/02/2020",4,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-04,0,13,0,0,0,0,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","05/02/2020",5,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-05,0,14,0,0,0,0,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","06/02/2020",6,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-06,0,15,0,0,0,0,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","07/02/2020",7,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-07,0,16,0,0,0,0,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","08/02/2020",8,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-08,0,17,0,0,0,0,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","09/02/2020",9,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-09,0,18,0,0,0,0,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","10/02/2020",10,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-10,0,19,0,0,0,0,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","11/02/2020",11,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-11,0,20,0,0,0,0,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","12/02/2020",12,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-12,0,21,0,0,0,0,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","13/02/2020",13,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-13,0,22,0,0,0,0,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","14/02/2020",14,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-14,0,23,0,0,0,0,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","15/02/2020",15,2,2020,0,0,"AF","AFG",37172386,"Asia",2020-02-15,0,24,0,0,0,0,NA,NA,NA
